Date,PMR
09-Aug-20,381040.26
10-Aug-20,434109.88
11-Aug-20,449057.41
12-Aug-20,448267.73
13-Aug-20,447068.78
14-Aug-20,455127.48
15-Aug-20,416883.32
16-Aug-20,411616.55
17-Aug-20,454767.34
18-Aug-20,453235.40
19-Aug-20,469270.82
20-Aug-20,479928.40
21-Aug-20,466545.23
22-Aug-20,412758.65
23-Aug-20,428783.70
24-Aug-20,476804.76
25-Aug-20,482676.96
26-Aug-20,486995.72
27-Aug-20,502730.71
28-Aug-20,510119.09
29-Aug-20,455637.49
30-Aug-20,438803.13
31-Aug-20,470137.32
01-Sep-20,464564.57
02-Sep-20,457082.00
03-Sep-20,484773.58
04-Sep-20,479539.24
05-Sep-20,420800.23
06-Sep-20,427658.99
07-Sep-20,434902.18
08-Sep-20,478390.80
09-Sep-20,472785.50
10-Sep-20,496940.12
11-Sep-20,491884.02
12-Sep-20,450326.18
13-Sep-20,470566.69
14-Sep-20,476757.00
15-Sep-20,493600.38
16-Sep-20,527040.68
17-Sep-20,570887.66
18-Sep-20,580686.35
19-Sep-20,532969.64
20-Sep-20,546680.04
21-Sep-20,601731.88
22-Sep-20,600104.68
23-Sep-20,596172.81
24-Sep-20,596354.62
25-Sep-20,625141.86
26-Sep-20,563651.99
27-Sep-20,577262.02
28-Sep-20,637527.81
29-Sep-20,632409.82
30-Sep-20,586852.51
01-Oct-20,518029.22
02-Oct-20,508265.90
03-Oct-20,459231.37
04-Oct-20,459888.40
05-Oct-20,510935.17
06-Oct-20,516436.63
07-Oct-20,548855.19
08-Oct-20,553506.21
09-Oct-20,554954.72
10-Oct-20,507448.95
11-Oct-20,522449.70
12-Oct-20,539754.85
13-Oct-20,578298.18
14-Oct-20,607709.41
15-Oct-20,617817.64
16-Oct-20,634791.61
17-Oct-20,570442.70
18-Oct-20,589509.86
19-Oct-20,643778.04
20-Oct-20,650861.52
21-Oct-20,651075.91
22-Oct-20,670729.53
23-Oct-20,668509.55
24-Oct-20,606954.08
25-Oct-20,624797.96
26-Oct-20,686924.15
27-Oct-20,732989.56
28-Oct-20,764633.76
29-Oct-20,797327.09
30-Oct-20,803493.04
31-Oct-20,690391.13
01-Nov-20,714406.13
02-Nov-20,718399.49
03-Nov-20,667090.47
04-Nov-20,554042.20
05-Nov-20,591849.93
06-Nov-20,602150.69
07-Nov-20,539710.87
08-Nov-20,561957.05
09-Nov-20,627013.82
10-Nov-20,669342.95
11-Nov-20,659884.58
12-Nov-20,669961.28
13-Nov-20,678775.37
14-Nov-20,601962.17
15-Nov-20,611674.14
16-Nov-20,659459.28
17-Nov-20,677832.73
18-Nov-20,661942.68
19-Nov-20,669167.77
20-Nov-20,666161.67
21-Nov-20,655388.22
22-Nov-20,697582.89
23-Nov-20,739073.86
24-Nov-20,788320.34
25-Nov-20,801187.73
26-Nov-20,747812.05
27-Nov-20,831286.34
28-Nov-20,768857.67
29-Nov-20,774122.90
30-Nov-20,850754.90
01-Dec-20,770537.46
02-Dec-20,725425.19
03-Dec-20,736583.97
04-Dec-20,694902.28
05-Dec-20,611642.31
06-Dec-20,643257.52
07-Dec-20,716744.14
08-Dec-20,738358.70
09-Dec-20,743544.38
10-Dec-20,767524.25
11-Dec-20,764782.87
12-Dec-20,702024.05
13-Dec-20,712497.73
14-Dec-20,755148.32
15-Dec-20,803185.61
16-Dec-20,795502.57
17-Dec-20,816665.17
18-Dec-20,816156.30
19-Dec-20,749245.35
20-Dec-20,737972.50
21-Dec-20,757723.51
22-Dec-20,756875.67
23-Dec-20,754735.63
24-Dec-20,703290.23
25-Dec-20,676279.49
26-Dec-20,670229.48
27-Dec-20,672507.25
28-Dec-20,690667.30
29-Dec-20,683917.72
30-Dec-20,639194.27
31-Dec-20,515530.17
01-Jan-19,178585.19
02-Jan-19,227159.63
03-Jan-19,228416.31
04-Jan-19,234490.96
05-Jan-19,201270.37
06-Jan-19,206066.45
07-Jan-19,247096.09
08-Jan-19,255208.22
09-Jan-19,270239.99
10-Jan-19,267386.56
11-Jan-19,262682.24
12-Jan-19,218992.47
13-Jan-19,222370.54
14-Jan-19,264827.71
15-Jan-19,275292.67
16-Jan-19,271573.09
17-Jan-19,270672.18
18-Jan-19,273352.06
19-Jan-19,234202.69
20-Jan-19,234548.94
21-Jan-19,265312.97
22-Jan-19,299913.92
23-Jan-19,288725.09
24-Jan-19,295976.54
25-Jan-19,274888.06
26-Jan-19,234640.40
27-Jan-19,232161.68
28-Jan-19,315102.93
29-Jan-19,304682.91
30-Jan-19,288145.56
31-Jan-19,268400.06
01-Feb-19,263410.89
02-Feb-19,224721.80
03-Feb-19,224759.40
04-Feb-19,266259.68
05-Feb-19,276992.06
06-Feb-19,282118.68
07-Feb-19,283187.20
08-Feb-19,277475.13
09-Feb-19,236464.96
10-Feb-19,239019.07
11-Feb-19,270159.32
12-Feb-19,252934.17
13-Feb-19,250306.96
14-Feb-19,287849.86
15-Feb-19,287195.55
16-Feb-19,245840.55
17-Feb-19,246617.00
18-Feb-19,300513.21
19-Feb-19,308321.77
20-Feb-19,302130.70
21-Feb-19,308180.18
22-Feb-19,300878.09
23-Feb-19,257130.70
24-Feb-19,252448.03
25-Feb-19,298446.72
26-Feb-19,296763.60
27-Feb-19,302993.16
28-Feb-19,297084.33
01-Mar-19,276277.81
02-Mar-19,240280.83
03-Mar-19,236756.72
04-Mar-19,289665.64
05-Mar-19,308373.77
06-Mar-19,309840.47
07-Mar-19,307234.65
08-Mar-19,299281.25
09-Mar-19,256588.01
10-Mar-19,247406.63
11-Mar-19,302529.99
12-Mar-19,313972.98
13-Mar-19,309717.34
14-Mar-19,309197.59
15-Mar-19,308999.05
16-Mar-19,276281.06
